,start,end,station
0,2020-12-08 11:40:02,2020-12-08 11:40:16,2
1,2020-12-09 01:38:51,2020-12-09 01:41:38,5
2,2020-12-09 01:41:58,2020-12-09 01:50:06,5
3,2020-12-12 03:23:03,2020-12-12 03:23:19,1
4,2020-12-13 03:09:47,2020-12-13 03:12:01,9
5,2020-12-13 03:32:47,2020-12-13 03:38:10,9
6,2020-12-13 16:59:21,2020-12-13 16:59:34,2
7,2020-12-15 10:08:51,2020-12-15 10:08:57,1
8,2020-12-29 23:50:36,2020-12-29 23:50:49,9
9,2020-12-29 23:52:04,2020-12-29 23:53:48,9
10,2020-12-29 23:54:01,2020-12-29 23:55:19,9
11,2020-12-29 23:56:49,2020-12-30 00:05:17,9
12,2021-01-03 16:19:43,2021-01-03 16:20:59,3
13,2021-01-07 18:22:09,2021-01-07 18:25:17,3
14,2021-01-07 18:34:47,2021-01-07 18:36:27,3
15,2021-01-08 05:53:14,2021-01-08 05:57:34,3
16,2021-01-08 09:33:37,2021-01-08 09:38:13,3
17,2021-01-08 09:54:41,2021-01-08 09:55:48,3
18,2021-01-08 09:56:54,2021-01-08 09:58:07,3
19,2021-01-08 15:36:29,2021-01-08 15:38:07,3
20,2021-01-08 17:03:58,2021-01-08 17:05:30,3
21,2021-01-08 20:55:44,2021-01-08 21:01:07,3
22,2021-01-09 01:11:38,2021-01-09 01:13:06,3
23,2021-01-09 08:00:37,2021-01-09 08:01:50,3
24,2021-01-09 10:40:29,2021-01-09 10:42:22,3
25,2021-01-09 11:41:56,2021-01-09 11:45:48,3
26,2021-01-09 11:46:03,2021-01-09 11:48:24,3
27,2021-01-09 15:27:17,2021-01-09 15:28:35,3
28,2021-01-09 19:25:35,2021-01-09 19:28:27,3
29,2021-01-09 19:43:25,2021-01-09 19:44:54,3
30,2021-01-09 19:46:27,2021-01-09 19:47:37,3
31,2021-01-09 22:48:42,2021-01-09 22:50:52,3
32,2021-01-10 05:39:00,2021-01-10 05:40:32,3
33,2021-01-10 09:24:43,2021-01-10 09:26:56,3
34,2021-01-10 09:32:25,2021-01-10 09:34:21,3
35,2021-01-10 09:45:29,2021-01-10 09:48:45,3
36,2021-01-10 10:55:55,2021-01-10 10:57:18,3
37,2021-01-10 12:40:13,2021-01-10 12:42:05,3
38,2021-01-10 12:42:15,2021-01-10 12:46:16,3
39,2021-01-10 12:47:01,2021-01-10 12:48:31,3
