intake,duration
0.05,75
0.5,523
0.16,315
0.07,67
0.18,177
0.06,93
0.09,211
0.06,68
0.51,567
0.0,0
0.27,417
0.0,23
0.11,183
0.04,68
0.06,117
0.32,309
0.04,54
-0.62,3
0.11,83
0.04,76
0.54,881
0.07,37
0.0,66
0.04,36
0.03,42
0.02,24
0.02,31
-0.01,2
0.21,143
0.24,288
-0.57,2
-0.08,21
0.13,229
0.0,0
-0.58,3
0.02,26
0.05,57
0.1,153
0.36,574
0.48,374
0.11,76
0.05,63
0.3,432
0.0,6
0.01,13
0.04,1434
0.26,139
0.01,32
0.04,91
0.0,1
-0.57,3
0.08,89
0.35,208
0.2,278
0.01,19
0.04,65
0.04,68
0.04,57
0.04,60
0.1,87
0.02,35
-0.64,4
0.0,0
0.7,708
0.1,162
0.02,34
0.07,115
0.02,50
0.0,0
0.04,19
-0.63,3
-0.56,4
0.09,122
0.03,32
0.12,129
0.18,111
0.02,25
0.04,16
0.01,78
-0.63,3
0.04,55
0.17,148
0.17,388
0.08,123
0.03,16
0.24,222
0.21,169
0.03,34
0.0,0
0.0,4
0.14,173
0.12,199
0.09,98
0.04,76
0.06,46
0.0,1
0.0,0
-0.56,2
0.04,35
0.0,5
0.13,191
0.07,59
0.13,98
0.11,150
0.03,36
0.04,73
0.16,201
0.11,110
0.13,349
0.32,193
0.43,420
-0.62,3
0.03,20
-0.61,3
0.03,47
-0.6,3
-0.58,3
-0.57,3
0.07,159
-0.59,3
-0.62,2
0.61,1092
0.03,22
0.3,473
0.08,86
0.06,41
0.05,88
0.17,317
0.21,150
0.0,56
0.05,174
0.01,33
0.31,339
0.05,103
0.09,115
-0.59,3
0.19,157
0.02,7
0.07,71
0.06,17
0.01,27
0.02,116
0.02,21
0.05,52
0.04,24
0.03,45
0.02,16
0.03,49
0.02,17
-0.58,2
0.09,42
0.07,99
0.01,11
0.04,53
0.38,542
0.0,0
-0.63,3
0.69,623
0.04,54
0.03,18
0.06,48
0.46,528
0.11,242
0.02,26
-0.59,2
0.05,35
0.03,20
0.03,29
0.06,42
0.06,191
0.02,14
0.02,24
0.17,150
0.02,37
-0.58,3
-0.6,3
0.17,250
0.19,371
0.03,43
0.13,183
0.02,10
0.0,1
0.09,222
0.08,136
0.26,290
0.04,34
-0.61,3
-0.63,3
0.2,197
0.28,216
0.01,13
0.02,19
0.11,68
0.04,56
-0.6,3
-0.6,3
0.11,129
0.0,1
-0.63,3
0.1,162
0.06,102
0.09,144
0.14,215
-0.62,3
0.03,27
0.07,128
0.02,24
0.23,292
0.06,49
0.0,0
0.11,49
0.34,566
0.03,37
0.22,168
-0.58,2
0.05,55
0.01,10
0.06,57
0.1,181
0.16,242
-0.63,3
0.05,58
0.05,20
0.03,34
0.04,67
0.03,27
0.12,87
0.48,700
0.22,169
0.05,104
0.01,46
-0.58,2
0.45,336
-0.62,4
0.21,290
0.05,65
0.06,123
0.09,268
0.01,52
0.02,18
0.12,159
0.34,261
0.12,75
0.15,131
0.04,56
0.02,22
0.76,642
0.03,35
0.06,111
0.0,31
0.03,40
0.08,123
0.08,116
0.01,20
0.15,274
0.04,94
0.02,7
0.02,29
0.04,35
0.06,111
0.0,0
0.03,15
-0.49,140
0.08,61
0.79,609
0.06,99
0.01,11
-0.63,3
0.03,17
0.03,30
0.08,90
0.02,27
-0.61,3
-0.63,3
0.05,7
0.13,192
-0.63,3
0.05,35
0.0,0
0.08,45
0.08,111
0.09,124
0.1,206
0.18,278
0.0,0
0.0,0
0.11,155
-0.61,3
0.69,819
0.06,62
0.01,13
0.01,14
0.02,20
0.11,122
0.11,127
0.17,292
-0.58,3
0.02,35
0.05,56
0.07,73
0.01,3
0.25,507
-0.63,3
0.01,6
0.07,138
0.02,29
0.18,432
0.15,180
-0.61,3
-0.58,3
0.01,25
-0.57,2
0.05,56
0.01,2
0.09,192
0.04,43
0.11,226
0.12,740
0.14,195
-0.62,2
0.01,7
0.5,842
0.85,866
0.04,66
0.08,89
0.02,26
0.15,125
0.03,28
-0.6,3
0.02,42
0.16,239
-0.56,2
0.13,207
0.13,351
0.6,328
0.04,40
0.09,125
0.09,129
0.09,160
0.73,600
0.11,60
0.02,400
0.1,111
0.02,16
0.21,155
0.12,180
0.27,307
0.02,46
0.04,41
0.09,139
0.02,16
0.03,143
0.12,170
-0.6,3
0.14,151
0.14,177
0.11,242
0.04,79
0.03,62
0.0,0
0.06,53
-0.57,3
-0.62,2
0.08,220
0.04,113
0.04,59
0.06,86
0.0,2
0.04,34
0.0,278
0.09,118
0.02,12
0.0,13
0.16,194
0.0,1
-0.6,3
0.02,49
-0.58,3
0.11,81
0.02,53
0.04,89
0.05,86
0.08,64
0.05,150
0.0,3
0.01,36
-0.62,2
0.23,548
0.13,128
0.11,69
0.15,250
0.08,162
0.03,40
